Using device: cpu

Running batch size: 16
Epoch 58: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1114, Val Acc: 0.9838
Epoch 59: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1115, Val Acc: 0.9838
Epoch 60: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1117, Val Acc: 0.9838
Epoch 61: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1118, Val Acc: 0.9838
Epoch 62: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1120, Val Acc: 0.9838
Epoch 63: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1121, Val Acc: 0.9838
Epoch 64: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1123, Val Acc: 0.9838
Epoch 65: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1124, Val Acc: 0.9838
Epoch 66: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1125, Val Acc: 0.9838
Epoch 67: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1126, Val Acc: 0.9839
Epoch 68: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1127, Val Acc: 0.9838
Epoch 69: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1129, Val Acc: 0.9838
Epoch 70: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1130, Val Acc: 0.9838
Epoch 71: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1131, Val Acc: 0.9838
Epoch 72: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1132, Val Acc: 0.9838
Epoch 73: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1134, Val Acc: 0.9838
Epoch 74: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1135, Val Acc: 0.9839
Epoch 75: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1136, Val Acc: 0.9839
Epoch 76: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1137, Val Acc: 0.9838
Epoch 77: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1138, Val Acc: 0.9838
Epoch 78: Train Loss: 0.0000, Train Acc: 1.0000, Val Loss: 0.1139, Val Acc: 0.9838
